Altium Designer Pick and Place Locations
D:\UltraZohm\UZ_A_MAX11331_Adapter\Project Outputs for UZ_A_MAX11331_Adapter\Pick Place\PickPlace_UltraZohm_Analog_Adapter_MAX11331_2v01.txt

========================================================================================================================
File Design Information:

Date:       16/04/21
Time:       15:37
Revision:   2f29e9a51d7ca96555697afe420b512b0dea6382
Variant:    SMD_Assembly
Units used: mm

Designator Footprint             Center-X(mm) Center-Y(mm) Ref-X(mm) Ref-Y(mm) Pad-X(mm) Pad-Y(mm) Rotation Layer    Comment              
U10        TSOP65P640X120-16N    31.6000      -21.5000     31.6000   -21.5000  28.6500   -19.2250  0        TopLayer SN74AVC4T774         
U9         TSOP65P640X120-16N    31.6000      -13.2250     31.6000   -13.2250  28.6500   -10.9500  0        TopLayer SN74AVC4T774         
U8         TSOP65P640X120-16N    31.6000      -4.9000      31.6000   -4.9000   28.6500   -2.6250   0        TopLayer SN74AVC4T774         
U7         TSOP65P640X120-16N    31.6000      3.4000       31.6000   3.4000    28.6500   5.6750    0        TopLayer SN74AVC4T774         
U6         SOT230P700X170-4N     33.5280      22.3520      33.5280   22.3520   35.8280   25.2520   270      TopLayer "1.8V LDO"           
U5         SOIC127P600X170_HS-9N 34.3000      33.9350      34.3000   33.9350   31.6000   35.8400   360      TopLayer "buck converter"     
U3C        TSOP65P640X120-16N    53.7989      -29.9025     53.7989   -29.9025  56.7489   -32.1775  180      TopLayer "Quad LVDS reciever" 
U3B        TSOP65P640X120-16N    53.8045      -8.4601      53.8045   -8.4601   56.7545   -10.7351  180      TopLayer "Quad LVDS reciever" 
U3A        TSOP65P640X120-16N    53.8243      12.4189      53.8243   12.4189   56.7743   10.1439   180      TopLayer "Quad LVDS reciever" 
U2C        TSOP65P640X120-16N    71.4426      -39.7760     71.4426   -39.7760  74.3926   -42.0510  180      TopLayer "Quad LVDS driver"   
U2B        TSOP65P640X120-16N    71.4482      -18.3336     71.4482   -18.3336  74.3982   -20.6086  180      TopLayer "Quad LVDS driver"   
U2A        TSOP65P640X120-16N    71.4680      2.5454       71.4680   2.5454    74.4180   0.2704    180      TopLayer "Quad LVDS driver"   
U1         TSOP65P640X120-16N    31.6000      11.7000      31.6000   11.7000   28.6500   13.9750   0        TopLayer SN74AVC4T774         
R39        RES_0603              65.5540      30.5270      65.5540   31.3270   65.5540   31.3270   360      TopLayer 100R                 
R38        RES_0603              59.7120      30.5270      59.7120   31.3270   59.7120   31.3270   360      TopLayer 20k                  
R37C       RES_0603              66.6276      -41.0232     66.6276   -41.8232  66.6276   -41.8232  180      TopLayer 100R                 
R37B       RES_0603              66.6332      -19.5808     66.6332   -20.3808  66.6332   -20.3808  180      TopLayer 100R                 
R37A       RES_0603              66.6530      1.2982       66.6530   0.4982    66.6530   0.4982    180      TopLayer 100R                 
R36        RES_0603              26.2000      -24.4000     25.4000   -24.4000  25.4000   -24.4000  90       TopLayer 10k                  
R35        RES_0603              26.2000      -22.7500     25.4000   -22.7500  25.4000   -22.7500  90       TopLayer 10k                  
R34        RES_0603              26.2000      -19.5000     25.4000   -19.5000  25.4000   -19.5000  90       TopLayer 10k                  
R33        RES_0603              26.2000      -17.8000     25.4000   -17.8000  25.4000   -17.8000  90       TopLayer 10k                  
R32        RES_0603              26.2000      -16.1000     25.4000   -16.1000  25.4000   -16.1000  90       TopLayer 10k                  
R31        RES_0603              26.2000      -14.4750     25.4000   -14.4750  25.4000   -14.4750  90       TopLayer 10k                  
R30        RES_0603              53.8700      30.5270      53.8700   29.7270   53.8700   29.7270   180      TopLayer 220                  
R29        RES_0603              38.1890      30.2260      37.3890   30.2260   37.3890   30.2260   90       TopLayer 100k                 
R28        RES_0603              30.5000      30.2000      29.7000   30.2000   29.7000   30.2000   90       TopLayer 10k                  
R27        RES_0603              36.6650      42.7990      35.8650   42.7990   35.8650   42.7990   90       TopLayer 115k                 
R26        RES_0603              38.9890      32.6010      38.9890   31.8010   38.9890   31.8010   180      TopLayer 200k                 
R25        RES_0603              27.2000      32.5000      28.0000   32.5000   28.0000   32.5000   270      TopLayer 2.2M                 
R24C       RES_0603              48.9989      -31.3025     48.9989   -32.1025  48.9989   -32.1025  180      TopLayer 100R                 
R24B       RES_0603              49.0045      -9.8601      49.0045   -10.6601  49.0045   -10.6601  180      TopLayer 100R                 
R24A       RES_0603              49.0243      11.0189      49.0243   10.2189   49.0243   10.2189   180      TopLayer 100R                 
R23C       RES_0603              48.9989      -28.5025     48.9989   -27.7025  48.9989   -27.7025  360      TopLayer 100R                 
R23B       RES_0603              49.0045      -7.0601      49.0045   -6.2601   49.0045   -6.2601   360      TopLayer 100R                 
R23A       RES_0603              49.0243      13.8189      49.0243   14.6189   49.0243   14.6189   360      TopLayer 100R                 
R22C       RES_0603              58.5989      -28.5025     58.5989   -27.7025  58.5989   -27.7025  360      TopLayer 100R                 
R22B       RES_0603              58.6045      -7.0601      58.6045   -6.2601   58.6045   -6.2601   360      TopLayer 100R                 
R22A       RES_0603              58.6243      13.8189      58.6243   14.6189   58.6243   14.6189   360      TopLayer 100R                 
